GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-management,com.example.projectmanagement.model,ProjectStatus,0,27,0,0,0,5,0,1,0,1
project-management,com.example.projectmanagement.model,Project,0,108,0,6,0,37,0,21,0,18
project-management,com.example.projectmanagement.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
project-management,com.example.projectmanagement.exception,GlobalExceptionHandler,7,85,1,1,1,26,1,5,0,5
project-management,com.example.projectmanagement.exception,ErrorDetails,0,74,0,0,0,30,0,15,0,15
project-management,com.example.projectmanagement.controller,ProjectController,0,48,0,0,0,13,0,6,0,6
project-management,com.example.projectmanagement.dto,ProjectRequest,0,66,0,0,0,28,0,14,0,14
project-management,com.example.projectmanagement.dto,ProjectResponse,0,94,0,0,0,40,0,17,0,17
project-management,com.example.projectmanagement,ProjectManagementApplication,5,3,0,0,2,1,1,1,1,1
project-management,com.example.projectmanagement.service,ProjectServiceImpl,0,106,0,0,0,28,0,9,0,9
